,Time
532,2.995
533,1.995
534,1.995
535,0.993
536,1.999
537,0.993
538,0.997
539,2.0
540,0.992
541,0.998
542,0.997
543,1.995
544,0.997
545,1.019
546,2.001
547,0.997
548,0.997
549,2.025
550,0.968
551,0.969
552,2.021
553,0.971
554,1.994
555,1.995
556,2.02
557,1.97
558,0.997
559,1.995
560,0.997
561,0.998
562,0.997
563,2.024
564,0.968
565,2.0
566,0.996
567,0.994
568,1.994
569,1.002
570,1.993
571,1.992
572,1.994
573,0.997
574,0.998
575,0.997
576,2.0
577,1.989
578,1.995
579,0.998
580,2.073
581,2.915
582,2.02
583,2.047
584,4.907
585,7.009
586,2.046
587,1.996
588,1.914
589,0.998
590,3.018
591,1.968
592,1.997
593,2.99
594,2.992
595,2.071
596,1.994
597,0.922
598,3.067
599,2.99
600,2.918
601,3.068
602,0.922
603,2.07
604,0.922
605,3.016
606,1.973
607,0.995
608,2.991
609,0.997
610,2.07
611,1.995
612,0.922
613,2.069
614,2.993
615,2.992
616,1.942
617,2.046
618,0.94
619,0.98
620,2.071
621,0.947
622,2.966
623,2.995
624,1.992
625,0.997
626,2.074
627,1.916
628,0.997
629,2.992
630,5.014
631,2.999
632,0.963
633,2.071
634,0.921
635,2.03
636,0.962
637,0.997
638,3.989
639,3.017
640,0.973
641,2.026
642,0.966
643,1.024
644,2.043
645,0.922
646,0.997
647,2.0
648,0.992
649,2.001
650,0.991
651,0.998
652,1.999
653,0.993
654,0.997
655,1.999
656,0.993
657,0.997
658,1.995
659,0.997
660,1.999
661,1.994
662,1.991
663,3.071
664,0.919
665,1.995
666,0.997
667,2.074
668,0.918
669,2.068
670,1.926
671,1.068
672,0.923
673,2.992
674,1.994
675,1.994
676,0.997
677,2.075
678,0.945
679,2.047
680,0.942
681,1.97
682,2.025
683,1.964
684,1.996
685,1.995
686,2.071
687,1.994
688,1.918
689,4.065
690,3.938
691,2.968
692,0.997
693,1.995
694,1.073
695,2.946
696,0.967
697,2.07
698,0.948
699,3.966
700,1.993
701,0.997
702,2.07
703,1.995
704,1.994
705,1.92
706,2.069
707,1.946
708,2.044
709,1.994
710,0.943
711,1.974
712,0.998
713,3.069
714,2.99
715,1.918
716,3.991
717,0.997
718,2.074
719,0.948
720,4.035
721,0.921
722,3.025
723,1.985
724,0.974
725,2.07
726,0.934
727,0.986
728,2.07
729,0.922
730,3.065
731,2.996
732,0.919
733,2.993
734,1.994
735,2.057
736,0.936
737,3.988
738,2.992
739,1.995
740,0.997
741,2.022
742,0.999
743,1.005
744,0.962
745,1.994
746,1.995
747,3.065
748,1.996
749,1.92
750,0.997
751,2.069
752,0.924
753,0.997
754,2.069
755,0.923
756,3.066
757,1.995
758,1.926
759,1.066
760,0.923
761,0.997
762,0.998
763,1.999
764,0.993
765,0.997
766,0.997
767,1.995
768,1.002
769,0.993
770,1.998
771,0.994
772,1.999
773,0.992
774,2.997
775,0.993
776,1.995
777,0.996
778,2.046
779,0.947
780,0.997
781,1.995
782,1.021
783,1.971
784,0.999
785,1.998
786,1.993
787,0.998
788,2.992
789,1.991
790,0.997
791,1.995
792,0.997
793,2.0
794,0.992
795,1.995
796,1.998
797,0.994
798,1.994
799,2.079
800,2.958
801,1.993
802,0.949
803,0.997
804,1.995
805,0.997
