,Time
532,1.995
533,1.073
534,0.922
535,0.997
536,3.068
537,1.994
538,1.978
539,0.939
540,1.073
541,0.921
542,0.998
543,1.994
544,1.073
545,0.997
546,0.922
547,0.998
548,2.02
549,1.047
550,0.997
551,0.922
552,0.998
553,0.998
554,0.996
555,2.019
556,1.049
557,0.921
558,0.997
559,1.073
560,0.923
561,1.995
562,0.997
563,0.997
564,0.997
565,0.998
566,1.074
567,0.997
568,0.922
569,0.997
570,0.998
571,0.997
572,0.997
573,0.998
574,0.997
575,0.997
576,0.998
577,2.07
578,0.997
579,0.997
580,0.948
581,2.045
582,0.921
583,1.996
584,1.994
585,0.997
586,0.997
587,0.997
588,1.996
589,2.018
590,1.05
591,0.921
592,0.997
593,1.996
594,1.074
595,0.919
596,1.023
597,1.969
598,0.997
599,0.998
600,0.997
601,1.037
602,0.959
603,3.031
604,1.994
605,2.035
606,1.994
607,0.921
608,0.995
609,1.995
610,1.995
611,2.992
612,2.074
613,1.994
614,1.996
615,4.906
616,1.077
617,0.996
618,0.919
619,2.074
620,2.913
621,2.07
622,1.994
623,1.92
624,1.072
625,0.922
626,0.998
627,2.018
628,0.975
629,2.991
630,3.069
631,0.92
632,2.074
633,0.918
634,1.026
635,2.04
636,0.948
637,1.049
638,0.921
639,0.998
640,2.995
641,2.066
642,1.995
643,0.922
644,2.07
645,0.922
646,1.995
647,1.072
648,0.946
649,1.971
650,2.992
651,2.07
652,0.922
653,2.071
654,0.996
655,1.995
656,0.922
657,1.007
658,0.988
659,2.07
660,0.997
661,1.994
662,2.994
663,1.942
664,1.048
665,1.92
666,1.07
667,0.925
668,0.997
669,1.994
670,0.997
671,2.993
672,2.071
673,1.993
674,0.923
675,0.996
676,2.071
677,0.998
678,0.997
679,0.922
680,0.997
681,2.018
682,1.049
683,1.995
684,1.994
685,1.995
686,0.922
687,2.068
688,0.924
689,0.998
690,0.997
691,0.998
692,1.998
693,2.988
694,0.997
695,2.071
696,2.992
697,0.996
698,0.923
699,2.069
700,0.998
701,0.922
702,1.021
703,0.974
704,1.072
705,1.995
706,1.995
707,0.922
708,2.036
709,0.956
710,2.019
711,0.985
712,0.986
713,2.036
714,0.955
715,2.02
716,0.972
717,1.004
718,1.989
719,0.997
720,0.997
721,1.995
722,1.077
723,1.991
724,0.921
725,0.997
726,2.07
727,0.923
728,2.07
729,1.997
730,2.991
731,1.926
732,1.064
733,1.92
734,2.068
735,3.939
736,1.971
737,0.997
738,2.071
739,0.922
740,1.995
741,1.021
742,3.043
743,0.998
744,1.998
745,1.99
746,2.99
747,2.954
748,1.038
749,1.924
750,1.067
751,2.918
752,2.991
753,0.997
754,1.996
755,1.994
756,0.998
757,2.074
758,0.918
759,2.991
760,2.075
761,0.917
762,3.067
763,2.993
764,1.995
765,0.921
766,0.998
767,2.067
768,1.0
769,0.922
770,1.024
771,3.04
772,1.919
773,2.997
774,2.019
775,1.994
776,1.995
777,0.997
778,0.97
779,2.022
780,1.053
781,2.988
782,2.992
783,0.919
784,2.075
785,0.999
786,0.915
787,0.997
788,2.026
789,1.042
790,2.991
791,2.916
792,0.998
793,0.998
794,0.997
795,2.07
796,0.997
797,0.922
798,0.997
799,0.997
800,2.047
801,1.021
802,0.922
803,0.997
804,2.069
805,0.923
806,1.073
807,0.922
808,0.998
809,0.996
810,2.071
811,0.997
812,0.997
813,0.998
814,0.922
815,0.997
816,2.071
817,0.996
818,0.922
819,0.997
820,1.996
821,0.997
822,0.997
823,0.998
824,0.997
825,0.997
826,0.998
827,0.997
828,0.997
829,0.998
830,2.01
831,1.005
832,1.043
833,1.009
834,0.917
835,0.996
836,0.998
837,1.053
838,0.966
839,0.997
840,0.974
841,0.997
842,0.997
843,0.998
844,0.997
845,0.997
846,1.021
847,1.971
848,2.073
849,1.915
850,1.998
851,1.993
852,0.998
853,1.993
854,1.078
855,1.931
856,2.003
857,1.049
858,0.997
859,1.0
860,0.919
861,0.997
862,2.002
863,0.991
864,0.997
865,0.997
866,0.997
867,0.997
868,1.998
869,1.07
870,0.997
871,2.917
872,1.994
873,2.994
874,0.996
875,2.074
876,0.918
877,0.997
878,0.998
879,3.016
880,8.952
881,1.994
882,1.025
883,0.97
884,2.078
885,0.993
886,2.992
887,1.999
888,0.917
889,2.989
890,1.994
891,1.028
892,2.044
893,2.995
894,2.909
895,1.995
896,2.005
897,0.987
898,1.073
899,0.922
900,0.997
901,0.998
902,2.005
903,1.062
904,0.997
905,2.995
906,3.935
907,1.97
908,0.998
909,2.022
910,0.97
911,0.997
912,1.075
913,2.92
914,2.988
915,4.012
916,1.971
917,1.994
918,1.996
919,3.071
920,1.915
921,2.0
922,3.011
923,2.044
924,2.942
925,1.048
926,1.99
927,2.922
928,3.068
929,1.92
930,0.997
931,1.994
932,1.077
933,1.991
934,0.998
935,0.945
936,2.045
937,2.02
938,3.895
939,0.991
940,0.997
941,2.055
942,0.938
943,1.025
944,0.971
945,2.07
946,0.921
947,2.024
948,1.047
949,2.992
950,3.94
951,4.987
952,3.002
953,11.927
954,2.074
955,2.914
956,3.067
957,2.94
958,1.0
959,2.045
960,1.994
961,1.918
962,3.068
963,2.992
964,3.989
965,3.939
966,1.969
967,9.967
968,3.019
969,4.987
970,3.992
971,3.042
972,3.936
973,3.963
974,2.056
975,3.006
976,2.999
977,2.938
978,2.042
979,0.996
980,1.995
981,0.998
982,1.998
983,2.988
984,2.992
985,3.982
986,0.954
987,1.97
988,5.062
989,1.996
990,1.994
991,1.996
992,0.92
993,2.035
994,1.033
995,0.922
996,2.075
997,2.988
998,2.94
999,2.05
1000,1.988
1001,1.997
1002,0.996
1003,1.995
