,Time
0,4.0
1,3.988
2,3.951
3,4.986
4,3.99
5,3.021
6,4.956
7,3.99
8,2.992
9,2.992
10,2.992
11,1.994
12,1.995
13,1.994
14,1.995
15,2.023
16,1.996
17,1.965
18,1.995
19,1.995
20,1.994
21,2.063
22,1.927
23,2.048
24,1.942
25,1.001
26,1.995
27,1.995
28,1.994
29,2.988
30,1.002
31,1.994
32,1.995
33,1.995
34,1.994
35,2.992
36,1.994
37,1.996
38,1.994
39,1.994
40,1.995
41,0.997
42,1.996
43,1.994
44,1.995
45,1.995
46,1.995
47,1.993
48,1.991
49,1.002
