,Time
0,51.888
1,1.99
2,43.86
3,45.955
4,47.874
5,47.795
6,44.924
7,46.828
8,43.881
9,43.941
10,48.814
11,46.905
12,44.85
13,43.91
14,47.882
15,52.82
16,47.876
17,43.882
18,43.88
19,43.931
20,47.861
21,44.881
22,46.875
23,44.844
24,50.86
25,44.881
26,49.909
27,45.866
28,45.848
29,45.916
30,48.826
31,47.926
32,46.859
33,42.899
34,44.828
35,43.901
36,46.937
37,46.869
38,46.831
39,43.882
40,43.85
41,47.874
42,45.896
43,45.857
44,43.882
45,44.881
46,45.904
47,49.838
48,44.88
49,43.883
50,42.913
51,46.875
52,45.877
53,43.855
54,43.91
55,54.856
56,45.847
57,46.875
58,48.883
59,41.875
60,46.873
61,51.861
62,47.893
63,51.866
64,44.865
65,49.856
66,46.902
67,45.888
68,46.872
69,43.848
70,47.901
71,45.925
72,45.878
73,43.882
74,44.84
75,48.831
76,46.921
77,43.837
78,43.882
79,45.938
80,49.806
81,45.925
82,48.826
83,45.872
84,43.934
85,44.854
86,46.88
87,44.931
88,45.873
89,43.86
90,48.869
91,48.845
92,49.913
93,44.843
94,43.873
95,46.926
96,44.88
97,44.871
98,46.859
99,47.889
