,Time
532,2.98
533,2.961
534,2.037
535,1.995
536,1.994
537,1.978
538,2.965
539,2.039
540,1.998
541,1.974
542,1.968
543,1.025
544,1.997
545,2.962
546,1.996
547,1.995
548,1.994
549,1.995
550,2.037
551,1.995
552,1.995
553,1.994
554,1.952
555,2.038
556,1.994
557,1.952
558,1.995
559,2.015
560,2.006
561,1.964
562,1.993
563,2.038
564,1.995
565,1.995
566,1.978
567,2.01
568,1.995
569,1.951
570,2.022
571,2.012
572,1.951
573,3.035
574,1.984
575,1.995
576,1.994
577,3.02
578,2.01
579,1.995
580,3.989
581,3.947
582,2.021
583,2.041
584,1.991
585,2.949
586,2.991
587,3.989
588,2.995
589,1.992
590,3.036
591,2.992
592,3.99
593,2.975
594,2.964
595,2.039
596,1.998
597,3.981
598,2.982
599,1.966
600,3.004
601,2.027
602,2.985
603,3.0
604,2.99
605,2.992
606,1.989
607,1.995
608,1.997
609,3.987
610,2.975
611,1.975
612,1.993
613,2.041
614,1.992
615,2.949
616,2.038
617,1.995
618,1.994
619,1.995
620,1.995
621,1.994
622,1.997
623,1.993
624,1.994
625,1.995
626,2.97
627,2.972
628,2.032
629,2.0
630,1.995
631,1.987
632,1.959
633,2.021
634,2.011
635,1.995
636,1.994
637,1.997
638,1.95
639,1.995
640,2.036
641,1.998
642,1.993
643,1.977
644,1.967
645,1.996
646,2.039
647,1.993
648,2.992
649,2.95
650,2.993
651,2.01
652,2.021
653,1.994
654,1.998
655,1.949
656,1.995
657,2.037
658,1.997
659,2.948
660,1.994
661,2.99
662,1.995
663,2.039
664,2.976
665,1.967
666,1.995
667,3.019
668,3.008
669,1.997
670,3.944
671,3.988
672,1.996
673,2.991
674,1.995
675,4.986
676,3.989
677,2.096
678,1.938
679,1.995
680,2.947
681,2.992
682,3.037
683,2.948
684,2.023
685,2.963
686,2.042
687,3.989
688,3.97
689,2.013
690,1.993
691,1.995
692,1.995
693,1.994
694,3.989
695,2.993
696,2.947
697,1.997
698,2.037
699,1.998
700,3.972
701,2.008
702,1.996
703,2.947
704,1.994
705,1.995
706,2.039
707,2.948
708,2.011
709,2.01
710,1.963
711,1.995
712,1.994
713,2.043
714,1.991
715,2.994
716,2.99
717,1.952
718,1.993
719,3.036
720,1.995
721,1.994
722,1.995
723,2.95
724,1.994
725,2.991
726,1.997
727,2.991
728,2.993
729,2.991
730,1.993
731,1.995
732,2.992
733,3.991
734,2.991
735,2.99
736,2.992
737,1.995
738,4.027
739,4.979
740,1.995
741,1.003
742,1.987
743,2.965
744,3.02
745,2.99
746,2.995
747,2.989
748,3.991
749,2.97
750,2.985
751,4.017
752,1.995
753,1.996
754,1.993
755,1.995
756,1.994
757,2.992
758,1.998
759,1.995
760,1.994
761,1.992
762,2.05
