,Time
532,0.997
533,1.995
534,1.994
535,0.998
536,2.992
537,6.987
538,2.984
539,1.996
540,0.997
541,3.02
542,3.962
543,1.027
544,1.964
545,0.998
546,1.995
547,2.991
548,1.995
549,2.993
550,2.992
551,1.994
552,4.985
553,1.995
554,1.999
555,2.992
556,3.986
557,2.991
558,1.995
559,2.992
560,4.99
561,2.99
562,5.984
563,2.991
564,1.994
565,1.998
566,0.995
567,2.992
568,3.989
569,2.993
570,5.986
571,1.994
572,1.996
573,0.995
574,3.989
575,2.993
576,1.996
577,2.989
578,1.997
579,0.996
580,0.997
581,0.997
582,1.995
583,1.994
584,4.99
585,1.992
586,1.996
587,1.994
588,2.991
589,1.994
590,3.991
591,0.997
592,2.994
593,1.993
594,0.997
595,1.994
596,5.987
597,4.987
598,7.974
599,5.986
600,4.986
601,6.981
602,7.978
603,4.987
604,4.987
605,5.986
606,7.977
607,4.986
608,2.992
609,6.981
610,3.99
611,8.975
612,0.998
613,0.997
614,1.995
615,2.992
616,2.992
617,2.992
618,2.992
619,0.997
620,2.995
621,1.992
622,1.994
623,1.995
624,0.998
625,0.997
626,2.993
627,0.997
628,1.994
629,0.997
630,2.992
631,2.992
632,2.992
633,1.996
634,2.991
635,0.997
636,0.998
637,2.991
638,2.992
639,0.998
640,1.994
641,0.998
642,0.997
643,0.997
644,1.995
645,0.997
646,0.998
647,0.997
648,1.002
649,1.99
650,0.997
651,1.995
652,1.996
653,0.996
654,0.997
655,0.998
656,0.997
657,1.995
658,1.994
659,1.995
660,1.995
661,0.997
662,1.995
663,0.997
664,0.997
665,0.998
666,1.994
667,0.998
668,1.994
669,0.998
670,2.991
671,1.996
672,2.993
673,1.994
674,1.995
675,1.995
676,0.997
677,1.994
678,0.998
679,0.997
680,1.997
681,1.994
682,3.988
683,1.995
684,0.997
685,1.995
686,1.996
687,2.991
688,1.994
689,6.981
690,5.985
691,8.975
692,3.989
693,4.989
694,7.976
695,4.988
696,3.989
697,2.993
698,2.991
699,2.994
700,1.992
701,0.997
702,1.995
703,0.997
704,2.993
705,3.989
706,2.992
707,1.995
708,1.994
709,0.998
710,0.997
711,3.989
712,1.997
713,1.994
714,1.993
715,0.998
716,1.007
717,1.985
718,0.997
719,1.995
720,0.997
721,0.997
722,2.992
723,1.995
724,2.993
725,0.997
726,1.994
727,0.997
728,1.996
729,1.004
730,3.993
731,2.982
732,0.996
733,1.995
734,0.997
735,1.994
736,0.998
737,0.997
738,0.997
739,0.997
740,1.995
741,1.995
742,2.992
743,1.995
744,0.997
745,1.995
746,0.997
747,0.997
748,0.998
749,1.995
750,2.992
751,3.991
752,2.0
753,0.991
754,1.994
755,0.997
756,1.995
757,0.997
758,1.995
759,2.992
760,2.992
761,1.994
762,2.992
763,2.993
764,0.997
765,2.992
766,1.994
767,0.999
768,1.993
769,1.996
770,2.991
771,1.996
772,1.994
773,1.994
774,2.992
775,1.994
776,3.992
777,1.011
778,1.98
779,3.989
780,2.992
781,4.987
782,8.976
783,6.981
784,5.983
785,3.989
786,5.985
787,4.986
788,4.987
789,8.976
790,5.984
791,6.982
792,16.954
793,3.991
794,3.99
795,5.983
796,4.985
797,4.99
798,5.984
799,6.981
800,1.995
801,1.993
802,1.996
803,3.988
804,4.994
805,3.063
806,2.991
807,1.996
808,2.991
809,3.949
810,0.959
811,2.019
812,0.973
813,2.018
814,1.049
815,0.957
816,0.978
817,1.979
818,2.992
819,2.074
820,2.94
821,1.968
822,3.02
823,2.046
824,3.988
825,1.998
826,2.91
827,4.013
828,2.992
829,1.995
830,2.969
831,1.994
832,1.995
833,1.995
834,2.018
835,0.973
836,1.995
837,0.997
838,0.998
839,2.021
840,2.965
841,3.072
842,2.913
843,1.994
844,1.07
845,1.997
846,0.998
847,1.924
848,2.026
849,2.955
850,2.02
851,1.994
852,0.997
853,2.071
854,1.0
855,2.913
856,2.991
857,2.071
