,Time
0,2.968
1,44.887
2,42.916
3,44.886
4,47.866
5,43.848
6,44.907
7,46.885
8,44.878
9,46.835
10,44.881
11,44.926
12,46.867
13,43.845
14,47.872
15,45.877
16,46.872
17,42.964
18,43.879
19,44.809
20,43.902
21,45.902
22,49.866
23,43.882
24,43.876
25,43.846
26,48.871
27,44.92
28,46.87
29,47.877
30,44.837
31,52.884
32,50.837
33,46.878
34,47.895
35,44.852
36,47.871
37,46.879
38,44.902
39,47.924
40,44.804
41,53.855
42,45.877
43,47.872
44,43.885
45,44.876
46,48.868
47,49.868
48,42.889
49,43.879
50,46.899
51,45.853
52,45.921
53,45.845
54,43.918
55,43.85
56,44.92
57,43.883
58,47.827
59,43.883
60,46.872
61,50.939
62,51.813
63,48.845
64,45.905
65,46.846
66,42.887
67,43.881
68,43.88
69,44.907
70,49.827
71,49.87
72,46.872
73,44.911
74,43.898
75,44.833
76,49.867
77,46.922
78,46.871
79,43.839
80,45.876
81,48.896
82,45.88
83,43.88
84,43.859
85,43.879
86,45.954
87,48.792
88,44.883
89,43.955
90,44.804
91,45.879
92,47.948
93,44.836
94,43.883
95,44.933
96,50.806
97,47.93
98,43.87
99,43.886
