,Time
0,2.992
1,46.875
2,43.924
3,47.86
4,46.844
5,45.879
6,46.877
7,44.879
8,43.882
9,44.878
10,42.885
11,44.881
12,49.866
13,43.929
14,43.836
15,46.876
16,44.881
17,43.881
18,43.882
19,44.88
20,43.91
21,44.896
22,42.884
23,43.842
24,45.901
25,43.886
26,42.858
27,45.905
28,45.891
29,44.886
30,45.83
31,51.905
32,48.826
33,45.915
34,43.882
35,44.84
36,48.915
37,47.836
38,46.869
39,44.897
40,46.853
41,45.878
42,50.865
43,42.885
44,43.928
45,43.882
46,47.828
47,42.881
48,44.924
49,44.869
50,42.852
51,45.905
52,42.858
53,43.882
54,43.883
55,44.928
56,46.827
57,46.905
58,54.824
59,46.872
60,45.877
61,46.875
62,42.913
63,43.885
64,43.88
65,42.858
66,44.883
67,46.901
68,48.849
69,45.872
70,47.894
71,42.859
72,47.95
73,44.84
74,43.87
75,47.849
76,50.912
77,46.866
78,45.876
79,42.88
80,46.902
81,46.857
82,48.86
83,50.864
84,48.869
85,53.855
86,48.896
87,46.847
88,44.883
89,47.871
90,57.846
91,50.862
92,45.911
93,44.925
94,45.954
95,47.795
96,45.878
97,50.89
98,47.894
99,44.831
