,Time
0,6.981
1,7.978
2,5.984
3,8.979
4,5.982
5,7.978
6,6.984
7,3.989
8,4.987
9,3.988
10,2.993
11,2.989
12,2.995
13,2.99
14,2.993
15,2.072
16,2.991
17,1.917
18,2.073
19,1.992
20,2.92
21,1.995
22,1.994
23,1.995
24,2.988
25,1.999
26,1.995
27,1.994
28,1.992
29,2.996
30,1.993
31,1.995
32,1.995
33,1.995
34,1.994
35,2.988
36,1.995
37,1.995
38,2.992
39,1.994
40,2.023
41,1.991
42,2.968
43,1.995
44,1.994
45,1.995
46,2.992
47,1.994
48,2.061
49,3.004
50,1.916
51,4.992
52,3.988
53,3.067
54,2.993
55,2.988
56,2.992
57,2.917
58,3.016
59,2.036
60,2.925
61,2.02
62,1.971
63,3.015
64,2.969
65,2.07
66,1.995
67,2.916
68,2.019
69,1.97
70,3.065
71,1.997
72,1.995
73,2.916
74,3.058
75,4.922
76,2.992
77,2.993
78,2.992
79,2.99
80,3.023
81,5.953
82,3.989
83,4.987
84,9.975
85,8.056
86,3.91
87,3.99
88,1.994
89,5.984
90,7.005
91,8.951
92,5.066
93,4.908
94,5.984
95,4.986
96,5.984
97,9.056
98,3.992
99,2.986
