,Time
0,10.971
1,6.011
2,4.965
3,4.98
4,6.982
5,4.986
6,6.012
7,3.989
8,2.965
9,2.992
10,3.019
11,3.961
12,3.99
13,1.995
14,2.02
15,2.967
16,2.023
17,1.967
18,2.013
19,2.004
20,1.966
21,1.994
22,1.995
23,1.995
24,1.994
25,1.995
26,2.08
27,0.943
28,2.001
29,1.993
30,1.96
31,1.024
32,1.972
33,1.995
34,0.997
35,1.995
36,0.993
37,1.998
38,0.994
39,1.999
40,1.99
41,1.002
42,1.994
43,1.991
44,1.001
45,1.994
46,0.994
47,1.999
48,0.993
49,1.998
