,Time
0,3.994
1,3.027
2,3.978
3,3.003
4,3.978
5,2.992
6,4.016
7,2.993
8,3.989
9,2.965
10,3.042
11,2.991
12,1.995
13,1.945
14,2.031
15,1.975
16,1.017
17,1.993
18,1.001
19,1.956
20,1.034
21,2.011
22,1.023
23,0.995
24,0.921
25,1.995
26,1.073
27,0.998
28,0.921
29,0.997
30,1.995
31,1.073
32,0.998
33,0.997
34,1.998
35,0.918
36,1.074
37,0.921
38,0.997
39,0.998
40,1.994
41,0.997
42,0.998
43,1.995
44,1.015
45,1.058
46,0.995
47,0.997
48,0.921
49,2.044
50,1.025
51,0.996
52,0.997
53,0.998
54,0.921
55,0.997
56,0.998
57,0.997
58,1.995
59,1.073
60,0.998
61,0.921
62,1.077
63,0.918
64,2.073
65,0.995
66,0.994
67,0.925
68,2.016
69,1.051
70,0.998
71,0.925
72,0.997
73,0.993
74,1.002
75,0.998
76,0.997
77,0.997
78,0.993
79,0.997
80,1.996
81,0.997
82,0.997
83,0.997
84,0.998
85,0.997
86,0.997
87,0.998
88,0.997
89,0.997
90,0.997
91,0.998
92,0.997
93,2.004
94,0.989
95,1.001
96,0.997
97,0.997
98,0.998
99,0.993
