epoch,accuracy,loss
0,0.6004273,0.6680557486338493
1,0.7008547,0.6031390108613887
2,0.73333335,0.5405660244134757
3,0.7739316,0.48932862740296584
4,0.8102564,0.44542639163824227
5,0.8260684,0.40206225310635363
6,0.8632479,0.35323885052632065
7,0.88632476,0.31629896805836605
8,0.89444447,0.2866656311302104
9,0.9119658,0.25187802327494335
10,0.91752136,0.2295296563806697
11,0.9217949,0.2135524032717077
12,0.9337607,0.19353061665454482
13,0.9444444,0.17209350155968953
14,0.9482906,0.164149620415818
15,0.94529915,0.155144085142857
16,0.95982903,0.13432154789184914
17,0.9542735,0.13081404729786084
18,0.9564102,0.13241111661633875
19,0.9653846,0.11860862534779769
20,0.9688034,0.09745782817530836
21,0.975641,0.0907334312541872
22,0.96794873,0.09935651100598848
23,0.9773504,0.0846248289793093
24,0.97991455,0.07297057896597772
25,0.97692305,0.07590353343731318
26,0.9807692,0.06651222963108976
27,0.98675215,0.05558894258390507
28,0.9863248,0.05794017534607496
29,0.9863248,0.05112437326938678
30,0.9858974,0.05481735698433004
31,0.9846154,0.05121884756665836
32,0.98547006,0.05178468012625081
33,0.99188036,0.03666025228225268
34,0.99017096,0.0380631848039408
35,0.99358976,0.03397637747037105
36,0.99444443,0.03002447998549184
37,0.99401706,0.027725989108857436
38,0.9948718,0.02891341332728282
39,0.99444443,0.02857897251876246
40,0.99700856,0.019572119644055
41,0.99444443,0.024629125093372586
42,0.99743587,0.01976998367657264
43,0.9982906,0.015689705011363214
44,0.99871796,0.016425647039730578
45,0.99700856,0.01674023752586327
46,0.99700856,0.019078325574946965
47,0.99871796,0.011628833904257441
48,0.99871796,0.013224555902246736
49,0.99444443,0.02076470316427513
50,0.99358976,0.022447020561025384
51,0.99957263,0.009736440205771444
52,0.99957263,0.007491906600582421
53,1.0,0.007317143021167344
54,0.99871796,0.011197904670117503
55,1.0,0.009454201555086507
56,0.99871796,0.010397236569760701
57,1.0,0.005238614221000009
58,1.0,0.0053147184202332115
59,1.0,0.004039791813438647
60,1.0,0.0036429801864278875
61,1.0,0.0034617688737682297
62,0.99914527,0.008263278112181614
63,1.0,0.0032312868166969625
64,1.0,0.002890782623798547
65,1.0,0.0025909928728340783
66,1.0,0.0024813686070902052
67,1.0,0.002470305589879425
68,1.0,0.002550841569621912
69,1.0,0.002140444047494322
70,1.0,0.001949493240358101
71,1.0,0.001962661105964301
72,0.96965814,0.09447698719027396
73,0.9910256,0.03134211735903389
74,0.99059826,0.031188067784940855
75,0.99914527,0.00683365104012052
76,1.0,0.0021812575690161725
77,1.0,0.0017431534981975953
78,1.0,0.0017503730678865208
79,1.0,0.0015398988659437905
80,1.0,0.0032948164177787863
81,1.0,0.0014721340874934363
82,1.0,0.0012841720945942097
83,1.0,0.0012845502230517853
84,1.0,0.0011913215819125374
85,1.0,0.0010990043266270405
86,1.0,0.0010790022859836403
87,1.0,0.0010597433301851025
88,1.0,0.0010017772885258349
89,1.0,0.000957635472703757
90,1.0,0.0009159650918271425
91,1.0,0.0008902239707262757
92,1.0,0.0009301347683908211
93,1.0,0.0008509497741798465
94,1.0,0.0007968397142910837
95,1.0,0.0007652676152177335
96,1.0,0.000761120680731554
97,1.0,0.0007489605067854023
98,1.0,0.0007214162334537086
99,1.0,0.000728527908750738
