epoch,accuracy,loss
0,0.5726496,0.6744885599511301
1,0.68504274,0.6252483072443905
2,0.7047008,0.5804271930303329
3,0.74615383,0.5269158089262808
4,0.7653846,0.49062174685999876
5,0.78717947,0.4577000265447502
6,0.8136752,0.4259409978858426
7,0.8418803,0.3909279028065184
8,0.8448718,0.37175513801411686
9,0.8551282,0.34315522134813486
10,0.8683761,0.3240299033303546
11,0.87435895,0.308105231808801
12,0.89316237,0.2769929652158012
13,0.9029915,0.2542268852902274
14,0.9098291,0.24058206916874292
15,0.9153846,0.22399139103726445
16,0.925641,0.208892955026056
17,0.9320513,0.19388698359839937
18,0.94017094,0.1746231500409607
19,0.9457265,0.1670524783114083
20,0.95042735,0.15227995647324455
21,0.9564102,0.1372085477042402
22,0.95,0.1457507658845339
23,0.9576923,0.13249330739689688
24,0.96495724,0.11268723260643136
25,0.96965814,0.10372391150006627
26,0.974359,0.09483950816206316
27,0.9705128,0.09540003174915909
28,0.97991455,0.07704459305566091
29,0.9807692,0.07682785535724754
30,0.9790598,0.07306056250619074
31,0.984188,0.06270301567438322
32,0.9863248,0.059736725153067174
33,0.98162395,0.07010290596443108
34,0.9910256,0.050570653111506735
35,0.99017096,0.045572883877744025
36,0.991453,0.04188024520109861
37,0.992735,0.04208077172565664
38,0.99230766,0.04116396042398918
39,0.991453,0.0377208605217628
40,0.99230766,0.0372816507706546
41,0.99529916,0.0306014243624786
42,0.99572647,0.02861393817469605
43,0.99529916,0.025733045965003278
44,0.99743587,0.021978328636505156
45,0.99700856,0.0204427158810262
46,0.99188036,0.029526737829049427
47,0.9807692,0.0478735605875651
48,0.99230766,0.02803050755507225
49,0.99871796,0.015018499685196668
50,0.99914527,0.014106419160325304
51,0.98675215,0.037465520788971175
52,0.99358976,0.026755284879388462
53,0.99957263,0.01218721949073494
54,1.0,0.011099789358484439
55,1.0,0.010050258142316443
56,0.99871796,0.01027724610036637
57,1.0,0.008102623225213625
58,1.0,0.007631003282741349
59,1.0,0.007382290350953833
60,1.0,0.006628274912130024
61,1.0,0.006248654256391729
62,1.0,0.006235058998000514
63,1.0,0.006022844354037004
64,1.0,0.005543121724970575
65,0.99957263,0.009197387573285363
66,1.0,0.006172996127388926
67,1.0,0.004950368565180872
68,1.0,0.004544478635657897
69,1.0,0.00706127680456027
70,1.0,0.0040045678391694445
71,1.0,0.0031114414596977906
72,1.0,0.003306293311632342
73,1.0,0.0031883801171420797
74,1.0,0.003154363887360654
75,1.0,0.0030672752127274233
76,1.0,0.0023366550385353004
77,1.0,0.0023789207289855066
78,1.0,0.0024313139140809247
79,1.0,0.0021391759356540717
80,1.0,0.0018991703381980808
81,1.0,0.00183580617838774
82,1.0,0.0017441004250023481
83,1.0,0.001656593388925569
84,1.0,0.0015428920742497445
85,1.0,0.0014870919888186403
86,1.0,0.0013889455951466205
87,1.0,0.0013325563289670864
88,1.0,0.0012980684148482023
89,1.0,0.0012561476393403788
90,1.0,0.0015427174371161994
91,1.0,0.0017942392480714867
92,1.0,0.0012049694983368247
93,1.0,0.001032119423437577
94,1.0,0.001004639973378398
95,1.0,0.0008947073072035853
96,1.0,0.0009090554056829438
97,1.0,0.0008207183087475471
98,1.0,0.0007705198726258599
99,1.0,0.0007747378969429713
